value_model,scenario_id,k,cbl_blast,cbl_b9,ndcg5_blast,ndcg5_b9
revenue_weighted,scenario_k5_026,5,783.0972273859446,901.968137917719,0.9764280961824067,0.8882743254824403
revenue_weighted,scenario_k5_027,5,524.2494704724629,608.4898916779254,0.9955360207955423,0.9137832449030494
revenue_weighted,scenario_k5_028,5,812.8428260609012,812.8428260609012,0.945194409948918,0.945194409948918
revenue_weighted,scenario_k5_029,5,852.2615033257657,972.8854335452864,0.998065631322379,0.8917675106592252
revenue_weighted,scenario_k5_030,5,861.4438589347811,980.1547984024236,0.9995126171927965,0.8950731284535605
revenue_weighted,scenario_k10_001,10,1883.310773921928,1820.6941344290424,0.8560663815856745,0.7787149408537438
revenue_weighted,scenario_k10_002,10,1716.8213032672088,1717.6653371443724,0.8803220518440467,0.8233742387335342
revenue_weighted,scenario_k10_003,10,1737.6141722398834,1739.599263431347,0.8589804501131543,0.7957832964485739
revenue_weighted,scenario_k10_004,10,1891.328732530531,1844.578561259975,0.9134807820644026,0.8372436528818004
revenue_weighted,scenario_k10_005,10,2050.89744047089,2212.24251721449,0.9130205409317552,0.8316352474312574
revenue_weighted,scenario_k10_006,10,1882.3509641429694,1820.6941344290424,0.8622819314253836,0.805293585484498
revenue_weighted,scenario_k10_007,10,1916.6269107236199,1854.6715985034816,0.917382853934112,0.8408200662778432
revenue_weighted,scenario_k10_008,10,2206.148769706307,2387.0102483668575,0.923626426297075,0.8716182638363841
revenue_weighted,scenario_k10_009,10,1873.0253988121985,1826.2752275416426,0.9303877175510503,0.876297901606191
revenue_weighted,scenario_k10_010,10,1850.0169692324098,1802.6054706891066,0.8598276873920165,0.8051279153036276
revenue_weighted,scenario_k10_011,10,1718.2832668300227,1722.1867244741322,0.8811442253076601,0.8136809865699556
revenue_weighted,scenario_k10_012,10,1761.3267189512299,1698.6250536243147,0.9640431077245967,0.9019765583440322
revenue_weighted,scenario_k10_013,10,1727.5696986364628,1682.1458414293265,0.9638312012515664,0.90146006506069
revenue_weighted,scenario_k10_014,10,1618.3539606203788,1620.406021829745,0.9668536307344182,0.8862617677140944
revenue_weighted,scenario_k10_015,10,2209.9980929952726,2340.8294043632263,0.8705262750799209,0.8157097583458917
revenue_weighted,scenario_k10_016,10,1846.3555677976199,1800.1183874658036,0.8697468945661491,0.7919750064599669
revenue_weighted,scenario_k10_017,10,1858.364084653682,1797.5695435780428,0.8668138135495838,0.8095259548196151
revenue_weighted,scenario_k10_018,10,1883.310773921928,1820.6941344290424,0.8716353733818304,0.8087702721375218
revenue_weighted,scenario_k10_019,10,2266.1389901568773,2381.7494559588276,0.9224357389168192,0.8628920397499373
revenue_weighted,scenario_k10_020,10,1857.793409303384,1795.210030707685,0.8766908025399035,0.7969002238285439
revenue_weighted,scenario_k10_021,10,2161.278535149674,2340.8294043632263,0.8646024080383983,0.801954965031803
revenue_weighted,scenario_k10_022,10,1713.4564174549773,1665.462606755326,0.9672404608654354,0.9112236285156824
revenue_weighted,scenario_k10_023,10,1761.6223251129163,1700.9933269561973,0.9668136447166688,0.9104449462331106
revenue_weighted,scenario_k10_024,10,2204.497450796608,2382.0271044408505,0.9245501079493545,0.8634500695442804
revenue_weighted,scenario_k10_025,10,1796.1727762742453,1796.1366518963996,0.9108460609976684,0.837088100084687
revenue_weighted,scenario_k10_026,10,2187.632830587762,2318.5311119736184,0.9657527070034395,0.9076599192573601
revenue_weighted,scenario_k10_027,10,2224.48317224171,2339.8910685004103,0.8737544696083714,0.8069466311668626
revenue_weighted,scenario_k10_028,10,2058.4235225486345,2210.422590762904,0.902027461949649,0.8444284262896813
revenue_weighted,scenario_k10_029,10,1763.6278360658043,1700.9933269561973,0.9643353747453084,0.910445907210557
revenue_weighted,scenario_k10_030,10,2227.3601526545413,2342.440073221602,0.8572295125503521,0.8025892613194489
